"Brand_Reg","Model_No","SoldIn","screensize","Screen_Tech","Avg_mode_power","Star Rating Index","Submit_ID","Screensize_inches"
"ENGLAON","LED32M80","Australia,New Zealand",86.176,"LCD (LED)",47.2,4.513125542904489,152453,34
"ENGLAON","LED32X70","Australia",80.784,"LCD (LED)",38.46,4.54903877620938,149327,32
"ENGLAON","LED32X80","Australia,New Zealand",86.176,"LCD (LED)",47.2,4.513125542904489,152453,34
"ENGLAON","LED32X90","Australia,New Zealand",80.131,"LCD (LED)",37.1,4.570737326913083,164843,32
"ENGLAON","LED40X70","Australia",100.722,"LCD (LED)",36.27,6.409737527786951,149055,40
"ENGLAON","LED40X90","Australia,New Zealand",100.332,"LCD (LED)",38.6,5.996206090448164,164845,40
"TECO","LED43AUSRC","Australia,Fiji,New Zealand",107.95,"LCD (LED)",52.9,5.067119924693827,159666,42
"ENGLAON","LED55M10","Australia,New Zealand",138.783,"LCD (LED)",143.5,3.032234213905565,170319,55
"TECO","LED58AUSRC","Australia,Fiji,New Zealand",146.039,"LCD (LED)",86.5,5.346992914065456,159665,57
"TECO","LED58BQUSRC","Australia,Fiji,New Zealand",146.068,"LCD (LED)",85.2,5.533270548071191,178824,58
"TECO","LED65AUSRC","Australia,Fiji,New Zealand",163.829,"LCD (LED)",94,5.634761250243758,159173,64
"TECO","LED65BQUSRC","Australia,Fiji,New Zealand",163.896,"LCD (LED)",136.6,4.507742024035239,179003,65
"TECO","LED70AUSRC","Australia,Fiji,New Zealand",176.537,"LCD (LED)",135.9,5.0560574392483195,160616,70
"TEAC","LED2422DT","Fiji,New Zealand",59.809,"LCD (LED)",19.6,4.757909454846906,150329,24
"LOEWE","LED 32","Australia",80.054,"LCD (LED)",34,5.154958966766685,154153,32
"KOGAN","LED (backlighting) TV","Australia,New Zealand",80.039,"LCD (LED)",27.1,5.561680559205171,169349,32
"TEAC","LED*2422DT","Fiji,New Zealand",59.809,"LCD (LED)",19.6,4.757909454846906,150329,24
"TEAC","LEDV2422DT","Fiji,New Zealand",59.809,"LCD (LED)",19.6,4.757909454846906,150329,24
"SHENZHEN XINCHAODA TECHNOLOGY CO., LTD","LEQ55A722","Australia,Fiji,New Zealand",138.783,"LCD (LED)",103.61,4.511450751759631,142739,55
"SHENZHEN XINCHAODA TECHNOLOGY CO., LTD","LEQ55W722","Australia,Fiji,New Zealand",138.783,"LCD (LED)",98.45,4.740698529701904,142745,55
"SHENZHEN XINCHAODA TECHNOLOGY CO., LTD","LEQ65A722","Australia,Fiji,New Zealand",163.896,"LCD (LED)",109.48,5.661155248126301,142747,65
"SHENZHEN XINCHAODA TECHNOLOGY CO., LTD","LEQ65W722","Australia,Fiji,New Zealand",163.896,"LCD (LED)",100.64,6.045013280653004,140784,65
"TEAC","LEV24A422","Australia",80.039,"LCD (LED)",33.3,5.26280849184812,150691,32
"TEAC","LEV24A423","Australia",59.824,"LCD (LED)",22.2,5.121511445327967,150555,24
"TEAC","LEV32A422","Australia",80.039,"LCD (LED)",33.3,5.26280849184812,150691,32
"TEAC","LEV32A423","Australia",80.039,"LCD (LED)",33.3,5.26280849184812,150691,32
"TEAC","LEV32A *423 *422","Australia",80.039,"LCD (LED)",33.3,5.26280849184812,150691,32
"VDT","LEW22BA16","Australia,Fiji,New Zealand",54.687,"LCD (LED)",27.8,3.3241491512901344,179779,22
"VDT","LEW22BA43","Australia,Fiji,New Zealand",54.687,"LCD (LED)",20.64,4.864733842526665,158428,22
"VDT","LEW24BA16","Australia,Fiji,New Zealand",60.47,"LCD (LED)",26.9,3.7271911709489993,179843,24
"VDT","LEW32EA16","Australia,Fiji,New Zealand",80.131,"LCD (LED)",38.4,4.27186525955603,179844,32
"SAMSUNG ELECTRONICS","LH43BECHLG****","Australia,Fiji,New Zealand",107.987,"LCD (LED)",70,4.2156364107821895,152532,43
"SAMSUNG ELECTRONICS","LH43BECHLGKXXY","Australia,Fiji,New Zealand",107.987,"LCD (LED)",70,4.2156364107821895,152532,43
"SAMSUNG ELECTRONICS","LH43BECHLGSXNZ","Australia,Fiji,New Zealand",107.987,"LCD (LED)",70,4.2156364107821895,152532,43
"SAMSUNG ELECTRONICS","LH50BECHLG****","Australia,Fiji,New Zealand",125.727,"LCD (LED)",80,4.8485470457482105,152543,49
"SAMSUNG ELECTRONICS","LH50BECHLGKXXY","Australia,Fiji,New Zealand",125.727,"LCD (LED)",80,4.8485470457482105,152543,49
"SAMSUNG ELECTRONICS","LH50BECHLGSXNZ","Australia,Fiji,New Zealand",125.727,"LCD (LED)",80,4.8485470457482105,152543,49
"SAMSUNG ELECTRONICS","LH55BECHLG****","Australia,Fiji,New Zealand",138.783,"LCD (LED)",81,5.597548917306669,152544,55
"SAMSUNG ELECTRONICS","LH55BECHLGKXXY","Australia,Fiji,New Zealand",138.783,"LCD (LED)",81,5.597548917306669,152544,55
"SAMSUNG ELECTRONICS","LH55BECHLGSXNZ","Australia,Fiji,New Zealand",138.783,"LCD (LED)",81,5.597548917306669,152544,55
"SAMSUNG ELECTRONICS","LH65BECHLG****","Australia,Fiji,New Zealand",163.897,"LCD (LED)",116,5.401243988893101,152545,65
"SAMSUNG ELECTRONICS","LH65BECHLGKXXY","Australia,Fiji,New Zealand",163.897,"LCD (LED)",116,5.401243988893101,152545,65
"SAMSUNG ELECTRONICS","LH65BECHLGSXNZ","Australia,Fiji,New Zealand",163.897,"LCD (LED)",116,5.401243988893101,152545,65
"SAMSUNG ELECTRONICS","LH75BECHLG****","Australia,Fiji,New Zealand",189.338,"LCD (LED)",139,5.823191657737304,152547,75
"SAMSUNG ELECTRONICS","LH75BECHLGKXXY","Australia,Fiji,New Zealand",189.338,"LCD (LED)",139,5.823191657737304,152547,75
"SAMSUNG ELECTRONICS","LH75BECHLGSXNZ","Australia,Fiji,New Zealand",189.338,"LCD (LED)",139,5.823191657737304,152547,75
"SAMSUNG ELECTRONICS","LH85BECHLGKXXY","Australia,Fiji,New Zealand",214.783,"LCD (LED)",145,6.720059511582148,152548,85
"LOEWE","LOEWE","Australia",120.664,"OLED",61,5.7272967610449665,172437,48
"LOEWE","LOEWE 55 OLED","Australia",138.711,"OLED",76.5,5.871317766395888,172438,55
"LOEWE","LOEWE 65 OLED","Australia",163.965,"OLED",98,6.159730989517401,172439,65
"LOEWE","LOEWE *43","Australia",107.95,"LCD (LED)",65.8,4.497596729556777,154150,42
"LINSAR","LS24C12V","Australia,Fiji,New Zealand",62.228,"LCD",15.85,6.309656677494295,146505,24
"LINSAR","LS24HDNF-12V","Australia,Fiji,New Zealand",59.774,"LCD",17.766,6.010103150137152,166110,24
"LINSAR","LS24HDNFB","Australia",59.827,"LCD (LED)",15.38,6.651375912212433,169203,24
"LINSAR","LS32C12V","Australia,Fiji,New Zealand",80.043,"LCD",27.1,6.138546025859608,152005,32
"LINSAR","LS32HDNF23","Australia,Fiji,New Zealand",80.043,"LCD",23.8,6.749526906773145,158252,32
"LINSAR","LS32HDNF-12V","Australia",80.039,"LCD (LED)",27.036,6.138069063666082,165339,32
"LINSAR","LS32HDNFB","Australia",80.043,"LCD (LED)",15.87,8.51651414520261,169204,32
"LINSAR","LS40FHDNF23","Australia,Fiji,New Zealand",100.332,"LCD (LED)",38.946,6.238504023558243,159804,40
"LINSAR","LS50QLDVTV","Australia",125.731,"LCD",51.1,6.436333622695435,176646,50
"LINSAR","LS50UHDNF","Australia,Fiji,New Zealand",125.725,"LCD",59.7,6.1612671006942135,146006,49
"LINSAR","LS50UHDNF23","Australia,Fiji,New Zealand",127.259,"LCD (LED)",57.06,6.488264199278357,157732,50
"LINSAR","LS50UHDZEN","Australia,Fiji,New Zealand",125.727,"LCD",56.7,6.0624515145983064,150543,49
"LINSAR","LS55QLDVTV","Australia",138.764,"LCD",62.37,6.361508039658019,176795,55
"LINSAR","LS55UHDNF23","Australia,Fiji,New Zealand",138.783,"LCD (LED)",69.65,6.293361671010194,157754,55
"LINSAR","LS55UHDZEN","Australia,Fiji,New Zealand",138.783,"LCD",68.5,6.02167727117258,150544,55
"LINSAR","LS60UHDNF23","Australia,Fiji,New Zealand",152.663,"LCD",81.288,6.3902899068173715,162697,60
"LINSAR","LS60UHDNF25","Australia,Fiji,New Zealand",152.678,"LCD",86.09,6.085122727853401,168053,60
"LINSAR","LS65QLDVTV","Australia",163.896,"LCD",83.67,6.43826125058401,176798,65
"LINSAR","LS65UHDNF","Australia",163.896,"LCD (LED)",95.274,6.0693688847202,142813,65
"LINSAR","LS65UHDNF23","Australia,Fiji,New Zealand",164.961,"LCD (LED)",95.92,6.292263476185693,157756,65
"LINSAR","LS65UHDZEN","Australia,Fiji,New Zealand",163.853,"LCD",85.2,6.681981903222721,157322,65
"LINSAR","LS65UHDZEN25S","Australia,Fiji,New Zealand",163.896,"LCD (LED)",94.374,6.320494529076397,173260,65
"LINSAR","LS70UHDNF","Australia",176.592,"LCD (LED)",107.4,6.37351524694427,157231,70
