"Star Rating Index","Screensize_inches"
5.121511445327967,24
5.016705353735284,32
5.030432129486525,60
4.91366815087741,31
4.025359920995686,24
5.051045905816841,32
4.526400619045754,40
3.542223664976664,43
5.799687998815937,32
6.025786528657009,40
4.3445623134294555,31
4.544406853380655,39
3.553267260591146,42
3.054983381188823,49
3.5221653033837876,55
3.6205371729918245,65
5.5485690204715645,75
4.552077515720736,85
4.516360257282469,24
5.016703576803088,32
5.005691320259438,70
3.5055839279471974,85
3.5018497413173733,86
3.5008157002390408,100
5.800164961009463,32
5.198720591823303,42
4.5974627946475835,49
4.050393944753631,60
5.7179341816321125,70
4.333587410734022,19
5.065515602883841,19
4.395401082028128,19
4.777678717114031,24
6.206406424105242,23
4.758996661557138,24
5.9446797967165725,24
5.583285571635198,24
5.399112734703527,24
3.1109409488656943,27
6.051110422730285,32
6.552094678514144,32
6.7490607593293985,32
6.552094678514144,32
6.552094678514144,32
6.7490607593293985,32
6.7490607593293985,32
6.7490607593293985,32
6.7490607593293985,32
6.7490607593293985,32
5.600491790512466,32
5.600491790512466,32
5.600491790512466,32
5.060105230766275,32
6.6994546526913235,32
5.532724332007882,32
5.964966655906721,32
5.647994615200048,32
5.882395160180036,32
5.882395160180036,32
6.6994546526913235,32
5.299572454875552,32
6.6994546526913235,32
5.154958966766685,32
5.71941646795843,32
5.71941646795843,32
6.457156719581245,32
5.5997621327590545,32
4.561680559205172,32
4.530161456694669,32
6.007444889755374,32
5.050329620054731,32
6.280909501006662,32
6.280909501006662,32
6.280909501006662,32
6.280909501006662,32
6.280909501006662,32
6.6994546526913235,32
6.6994546526913235,32
5.04521473860549,31
5.718939505764904,32
5.718859351884015,32
5.793854274363063,31
6.363284451982482,32
4.513125542904489,34
7.018348467224255,40
7.018348467224255,40
7.018348467224255,40
7.018348467224255,40
7.018348467224255,40
7.018348467224255,40
7.018348467224255,40
7.018348467224255,40
7.018348467224255,40
7.018348467224255,40
6.5261979961276575,40
7.033409441022956,40
5.574444892258945,40
5.064246719599972,39
7.093040531534654,40
7.093040531534654,40
7.093040531534654,40
6.366762882999291,39
6.3655159060378335,40
6.528056286326917,40
6.528056286326917,40
6.528056286326917,40
6.361466345891943,39
5.235220811119446,39
4.527878970799845,42
4.527878970799845,42
4.527878970799845,42
4.527878970799845,42
5.198431890000209,43
5.510696888148748,43
5.070989554548221,43
5.070989554548221,43
4.517515573092177,43
5.510696888148748,43
5.510696888148748,43
4.553267260591147,42
7.035028893387631,43
7.035028893387631,43
7.035028893387631,43
7.087207125920074,43
6.022058059100385,43
5.968737022357746,42
5.555077154134538,43
6.374499841331531,43
5.198431890000209,43
5.029236682652613,43
5.772221428867803,43
3.9307399679175017,43
4.232972680439712,43
4.232972680439712,43
4.232972680439712,43
3.9307399679175017,43
4.767326376368296,43
4.767326376368296,43
5.091914908809575,43
4.767326376368296,43
4.767326376368296,43
4.767326376368296,43
4.943201795903388,42
4.370326753102434,42
5.238511305570017,42
6.512606008440962,42
4.519881526282994,43
5.1945622601458155,42
5.029236682652613,43
3.167068798957339,42
3.0721486367805606,42
4.7635216887896465,42
4.7635216887896465,42
4.7635216887896465,42
5.303604625547934,42
5.303604625547934,42
5.303604625547934,42
5.647616432117,42
5.647616432117,42
5.647616432117,42
6.372136646645825,43
6.234235916440882,43
4.708999043871274,43
4.708999043871274,43
4.232972680439712,43
4.632391706313805,43
4.708999043871274,43
4.708999043871274,43
4.428233749097203,43
4.632391706313805,43
4.428233749097203,43
4.232972680439712,43
3.527294960757275,43
4.519881526282994,43
4.232972680439712,43
4.519881526282994,43
4.232972680439712,43
6.6933318337413885,43
6.1024470408434714,43
4.557071948169797,43
4.557071948169797,43
4.767326376368296,43
4.767326376368296,43
7.168839664326816,43
7.168839664326816,43
6.402228210570558,43
3.755600019609336,43
3.8026906818154727,43
